id,price,is_recent_review,neighbourhood_cleansed,review_scores_rating
498,125.949425287,,East Los Angeles,4.602454545
46,261.514285714,,Castaic Canyons,4.8788
10,162.777777778,,Desert View Highlands,4.862857143
219,170.062893082,,Van Nuys,4.847241379
50,300.295454545,,Agoura Hills,4.844146341
76,258.136363636,,Ladera Heights,4.812222222
341,324.940972222,,Marina del Rey,4.691535433
230,438.388888889,,Encino,4.824130435
286,183.101522843,,Pico-Robertson,4.719767442
35,133.828571429,,Harbor City,4.355
16,162.571428571,,Florence,4.154
15,101.444444444,,Charter Oak,4.832142857
162,140.8203125,,Vermont Square,4.771228070
225,125.343283582,1,Palmdale,4.779426752
119,184.809090909,,Lake Balboa,4.874
242,190.893203883,,West Covina,4.7253125
197,155.382352941,,Reseda,4.870909091
29,157.44,,Cerritos,4.833636364
282,133.210526316,,Palms,4.775960591
38,213.5,,Gramercy Park,4.755862069
8,99.375,,Irwindale,4.86
48,163.46875,,Signal Hill,4.874390244
17,152.384615385,,Athens,4.856
16,295.214285714,,Bell Gardens,4.845555556
38,96.46875,,Florence-Firestone,4.642857143
156,148.632,,Downey,4.782644628
5,255.75,,North Whittier,4.8375
755,204.749163880,,Glendale,4.792162162
104,139.465909091,,Covina,4.821931818
31,82.2,,Vermont-Slauson,4.805909091
95,110.810126582,,Norwalk,4.826363636
14,124.636363636,,Northwest Antelope Valley,4.837777778
299,267.967741935,,Los Feliz,4.872870370
475,233.151761518,,Redondo Beach,4.806666667
26,153.3,,Windsor Square,4.7975
94,135.545454545,,Canoga Park,4.845517241
49,97.825,,South El Monte,4.767948718
180,190.848484848,,Arcadia,4.830610687
175,248.135135135,,West Hills,4.832393162
5,52,,Sun Village,4.7675
509,178.688249400,,Mid-City,4.750529248
4,140.666666667,,Cudahy,4.635
756,382.398387097,1,Hollywood Hills,4.810277264
208,153.405063291,,Hyde Park,4.731858974
215,230.215053763,,View Park-Windsor Hills,4.771355932
48,140.307692308,,La Mirada,4.720285714
19,272.0625,,Commerce,4.877058824
413,1683.764705882,,Malibu,4.864158076
4,111,,Hasley Canyon,4.91
6,331.4,,Lake View Terrace,4.95
23,98.6,,Artesia,4.804
126,110.873873874,,Baldwin Park,4.808070175
19,107.5,,Cypress Park,4.831538462
386,166.687943262,,Torrance,4.762804054
7,207.833333333,,East Whittier,4.768571429
46,149.628571429,,Rancho Park,4.898823529
609,238.509164969,,Burbank,4.858893360
333,153.188405797,,East Hollywood,4.710187793
78,174.030303030,,Bellflower,4.811071429
5,94.5,,Green Valley,4.8425
223,504.579185520,1,Avalon,4.679666667
85,152.059701493,,Harvard Heights,4.6615
41,141.25,,Lynwood,4.718333333
1192,329.013847676,,West Hollywood,4.769141104
1,,,South Diamond Bar,
374,190.140221402,,Echo Park,4.844163701
12,386.545454545,,Westlake Village,4.978888889
351,203.045454545,,Santa Clarita,4.815807692
121,291.684931507,,Playa del Rey,4.842467532
482,173.950131234,,North Hollywood,4.815294118
32,232.782608696,,Porter Ranch,4.896666667
48,148.666666667,,Manchester Square,4.85875
16,289.846153846,,Stevenson Ranch,4.9
105,161.279069767,,Jefferson Park,4.816410256
1533,320.158886894,1,Venice,4.825406977
98,276.256756757,,Hancock Park,4.821311475
55,122.731707317,,Pico Rivera,4.871153846
197,552.198795181,,Tarzana,4.828070175
18,353.928571429,,Rolling Hills Estates,4.963333333
90,92.884615385,,South San Gabriel,4.658607595
74,150.859649123,,Lakewood,4.799491525
46,393.363636364,,La Canada Flintridge,4.938181818
305,210.153488372,,Mar Vista,4.807051282
169,227.823943662,,Northridge,4.828596491
155,170.096,,West Adams,4.829230769
280,197.211009174,,Del Rey,4.817311828
94,259.064935065,,Chatsworth,4.886338028
14,119.272727273,,West Puente Valley,4.83
22,158.736842105,,Alondra Park,4.908
89,181.8,,Westmont,4.759452055
71,229.271186441,,Toluca Lake,4.827857143
81,135.267605634,,Lennox,4.790588235
4,236,,Rancho Dominguez,4.963333333
198,155.224852071,,Monrovia,4.802690058
22,87.285714286,,Broadway-Manchester,4.548888889
55,107.588235294,,Historic South-Central,4.685882353
319,489.541125541,,Fairfax,4.748194444
20,67.125,,South Park,4.4
167,178.518987342,,Vernon,4.756158940
225,1489.367346939,,Beverly Crest,4.865849057
30,192.1,,Elysian Valley,4.906842105
21,112.111111111,,Pacoima,4.779285714
61,207.361111111,,Chinatown,4.806296296
5,1771,,Citrus,4.632
11,82.5,,Maywood,4.43
667,1147.663778163,1,Hollywood Hills West,4.851963824
301,353.88671875,,Hermosa Beach,4.853114035
